epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1582.53,0.10887,0.45584,0.87847,0.96503,0.93333,0.98389,0.98389,0.1676,0.65881,0.47445,0.000339673,0.000339673,0.000339673
79,1597.75,0.1196,0.46403,0.90502,0.95917,0.93333,0.98389,0.98389,0.161,0.63838,0.46945,0.000325526,0.000325526,0.000325526
80,1611.92,0.09991,0.40488,0.8839,0.93627,0.9293,0.98389,0.98389,0.14777,0.64035,0.45815,0.000311379,0.000311379,0.000311379
81,1626.31,0.12248,0.48634,0.86715,0.92798,0.92374,0.98389,0.98389,0.13051,0.65629,0.4451,0.000297232,0.000297232,0.000297232
82,1647.17,0.09763,0.45117,0.88709,0.92176,0.93333,0.97595,0.97595,0.12463,0.63956,0.44132,0.000283085,0.000283085,0.000283085
83,1662.65,0.09726,0.40457,0.89831,0.93214,0.93333,0.98389,0.98389,0.12947,0.63216,0.44452,0.000268938,0.000268938,0.000268938
84,1677.85,0.10721,0.48904,0.89506,0.93354,0.93333,0.98389,0.98389,0.13209,0.64027,0.44816,0.000254791,0.000254791,0.000254791
85,1692.69,0.09866,0.43785,0.8836,0.9295,0.93333,0.98389,0.98389,0.13172,0.64673,0.44554,0.000240644,0.000240644,0.000240644
86,1708.35,0.08817,0.41715,0.87722,0.92049,0.93333,0.98389,0.98389,0.13025,0.65784,0.44201,0.000226497,0.000226497,0.000226497
87,1723.64,0.08735,0.37061,0.87532,0.89375,0.93724,0.98389,0.98389,0.1321,0.63508,0.44118,0.000212349,0.000212349,0.000212349
88,1740.86,0.09448,0.41078,0.88275,0.87419,0.99189,0.98389,0.98389,0.13605,0.6232,0.44143,0.000198202,0.000198202,0.000198202
89,1757.95,0.11348,0.44326,0.90622,0.86472,0.99209,0.98389,0.98389,0.13632,0.61279,0.44091,0.000184055,0.000184055,0.000184055
90,1773.2,0.08773,0.40296,0.87819,0.86421,0.99265,0.98389,0.98389,0.13622,0.61048,0.44036,0.000169908,0.000169908,0.000169908
91,1788.3,0.10527,0.86829,0.91726,0.85338,0.99219,0.98389,0.98389,0.13253,0.62697,0.4362,0.000155761,0.000155761,0.000155761
92,1804.08,0.09475,0.96834,0.8564,0.88819,0.94457,0.98389,0.98389,0.12478,0.65017,0.42602,0.000141614,0.000141614,0.000141614
93,1819.83,0.08759,0.67696,0.89103,0.89001,0.95765,0.98389,0.98389,0.12564,0.64966,0.42229,0.000127467,0.000127467,0.000127467
94,1835.48,0.09255,0.69081,0.86403,0.88807,0.95954,0.98389,0.98389,0.12687,0.67194,0.41941,0.00011332,0.00011332,0.00011332
95,1850.93,0.14249,0.74606,0.91504,0.88795,0.97656,0.98389,0.98389,0.12679,0.69253,0.41748,9.91726e-05,9.91726e-05,9.91726e-05
96,1866.15,0.09685,0.74025,0.86628,0.88843,0.97655,0.98389,0.98389,0.12615,0.71228,0.41543,8.50255e-05,8.50255e-05,8.50255e-05
97,1883.19,0.07549,0.63968,0.86985,0.88976,0.98174,0.98389,0.98389,0.12652,0.71234,0.41513,7.08784e-05,7.08784e-05,7.08784e-05
98,1901.38,0.08567,0.67195,0.84919,0.88989,0.96655,0.98389,0.98389,0.12666,0.7214,0.4147,5.67313e-05,5.67313e-05,5.67313e-05
99,1918.02,0.08804,0.61236,0.87036,0.89061,0.95155,0.98389,0.98389,0.12727,0.71778,0.41531,4.25842e-05,4.25842e-05,4.25842e-05
100,1932.69,0.07891,0.60787,0.87472,0.89085,0.9525,0.98389,0.98389,0.12878,0.71212,0.41673,2.84371e-05,2.84371e-05,2.84371e-05
